,Unnamed: 0,name,gender,age,zipCode,format,yearsOfExperience,phone,warehouse,style,skillRating,email,password,onlineStatus,matchStatus
148,148,garypoage,male,32,94539,sdm,5,8688730300,2,defensive,1672.1752888002209,garypoage@sjsu.edu,ug7Vj2ct,False,False
149,149,vondabretthauer,female,38,94539,d,3,132456597,5,aggressive,923.0126787376004,vondabretthauer@sjsu.edu,TYFcrRQERYWFe,False,False
150,150,dottiejenkins,female,27,95008,sdm,6,2778691196,1,neutral,1348.932016529678,dottiejenkins@sjsu.edu,avc8ICi0KNY,False,False
151,151,leahreker,female,21,94539,sd,0,6432949190,0,aggressive,1342.2667300336489,leahreker@sjsu.edu,WIyeddWz9ofX,False,False
152,152,walterjones,male,34,94539,d,8,4711043882,4,aggressive,1752.2683076776912,walterjones@sjsu.edu,HRp4fce2,False,False
153,153,dewaynepecanty,male,35,95035,sd,6,5685481704,0,defensive,1658.517427932734,dewaynepecanty@sjsu.edu,9AO3z16OJ81xaL,True,False
154,154,maudeburton,female,25,95035,d,6,5675488182,0,defensive,1407.9306283776205,maudeburton@sjsu.edu,tdaCsSg2x,False,False
155,155,hopejordan,female,34,95035,sm,0,2292073345,1,defensive,1757.647275154051,hopejordan@sjsu.edu,j5Cj7iWaF,True,False
156,156,scottmitchell,male,32,94568,sm,4,5985380700,6,aggressive,1780.785415215459,scottmitchell@sjsu.edu,xLywkxTAoZkRi,True,False
157,157,royreynolds,male,29,94568,s,4,6333713031,1,neutral,1354.9041989354353,royreynolds@sjsu.edu,VnNJTGr87v,False,False
158,158,thomasnelson,male,36,95035,m,5,5563311374,4,aggressive,1269.1339434232068,thomasnelson@sjsu.edu,1viShdB2BAZcwk,True,True
159,159,dalesims,male,23,95035,sd,3,9920934319,0,aggressive,934.4704719559682,dalesims@sjsu.edu,zAXStVq7t,True,True
160,160,jesusheinlein,male,25,95035,m,1,505729390,5,aggressive,1091.244146693374,jesusheinlein@sjsu.edu,W9S3uOekuJ,False,False
161,161,johnflores,male,29,95051,s,6,8110221483,4,aggressive,1774.0698573513191,johnflores@sjsu.edu,Ej5l0uMsW,True,True
162,162,harrycummings,male,17,94538,s,2,6752548426,6,aggressive,1669.2860380490667,harrycummings@sjsu.edu,F8KjDTIa7fCh2i,True,True
163,163,murielshields,female,27,95051,sdm,3,4826537153,3,defensive,1439.523670915176,murielshields@sjsu.edu,JQxST2gHAoFK,True,True
164,164,joannerodriguez,female,25,94538,d,4,8946801005,4,neutral,861.8396267066419,joannerodriguez@sjsu.edu,op4O5HuK1A,True,False
165,165,anniemain,female,31,94539,sdm,6,1837491390,0,neutral,1602.0932253142116,anniemain@sjsu.edu,957w3mErDUs,False,False
166,166,judithtrahan,female,39,94539,m,11,3461924029,3,neutral,1168.8339816254825,judithtrahan@sjsu.edu,MwUoHVCn,True,False
167,167,leesanders,male,29,94539,m,0,4750063674,2,defensive,1733.3555561249202,leesanders@sjsu.edu,kQ6KFJ3aCv,True,True
168,168,meganmoret,female,22,95051,sm,2,6347968601,0,neutral,1406.516747125029,meganmoret@sjsu.edu,BE79mScbB2zD,False,False
169,169,lauraphipps,female,22,95051,d,6,9758077735,4,aggressive,1592.651936877867,lauraphipps@sjsu.edu,UD8l9zqGjy0,True,False
170,170,marcustucker,male,38,95051,sdm,10,5183110937,2,neutral,1664.1367003692371,marcustucker@sjsu.edu,ez95qobHSGFeQk,False,False
171,171,eduardolombardo,male,27,94538,dm,7,4180806635,3,defensive,1185.5933410148737,eduardolombardo@sjsu.edu,cMo0VJg3648,False,False
172,172,roberthadsell,male,35,94568,sdm,3,8449319871,5,neutral,1268.7170302396405,roberthadsell@sjsu.edu,jQ0NEeZtRlgcY,False,False
173,173,amandaradish,female,32,95035,sdm,5,8387254278,1,neutral,1559.7782636832342,amandaradish@sjsu.edu,gMmwbDqMFOt,True,True
174,174,lisagoodson,female,37,95035,d,1,6111443818,5,aggressive,1519.400836089286,lisagoodson@sjsu.edu,BOislFLEke1l78aE,False,False
175,175,mikejohnson,male,31,94538,d,7,6341434996,0,defensive,1618.9489392641958,mikejohnson@sjsu.edu,CqjyW7A0WC,False,False
176,176,williamsiddiqui,male,34,94538,dm,9,3439247756,5,defensive,1018.5690610191914,williamsiddiqui@sjsu.edu,8fuuAJhe,False,False
177,177,susandavila,female,30,95035,sdm,9,3371707596,0,aggressive,1867.165022822984,susandavila@sjsu.edu,5nnNu2Ws,False,False
178,178,jamieholly,female,38,95051,m,0,7704242549,1,aggressive,1152.4004941882904,jamieholly@sjsu.edu,1c2qtGnUxtgt,True,True
179,179,kellieleighton,female,33,94568,d,10,1353423374,1,aggressive,1643.8369501811403,kellieleighton@sjsu.edu,AG3A4UjNYX,False,False
180,180,renatodunn,male,25,95035,dm,4,3057353950,1,aggressive,1670.1627576100946,renatodunn@sjsu.edu,07BqFUidusgS,False,False
181,181,marienix,female,29,94539,s,7,5070882386,4,defensive,1405.2490798926278,marienix@sjsu.edu,iXbSilw47gGOr,False,False
182,182,henryschatzman,male,28,95035,d,3,6045516844,4,aggressive,1583.5124073324623,henryschatzman@sjsu.edu,0M0t53Ggdg8v,False,False
183,183,sandradavis,female,29,95051,dm,3,4423893259,0,neutral,1396.3199761116018,sandradavis@sjsu.edu,3W9L4L6miKE4QVK,False,False
184,184,teresaharper,female,32,94538,sdm,8,3933546725,1,aggressive,1996.455447814988,teresaharper@sjsu.edu,lYwd5aGqSq,True,False
185,185,erikjohns,male,27,94539,sm,6,1483738644,4,aggressive,2005.696728496157,erikjohns@sjsu.edu,aFPun0PY3u,True,True
186,186,rosesauceda,female,24,95035,d,1,2667646503,5,neutral,909.6355089474642,rosesauceda@sjsu.edu,cICg7m4t,False,False
187,187,robertkeys,male,27,94568,dm,7,3915360077,2,aggressive,1695.4382576403314,robertkeys@sjsu.edu,kbQCIvFyvce,True,False
188,188,ruthleslie,female,30,95035,sd,7,3874228322,4,neutral,2151.798229568852,ruthleslie@sjsu.edu,2Eo4It7eLQln,False,False
189,189,melvinfrick,male,34,95008,d,9,7262083693,1,neutral,1408.7361351913717,melvinfrick@sjsu.edu,M8K1wSCwJ,True,False
